,start_station_name,value
547,Streeter Dr & Grand Ave,66944
83,Canal St & Adams St,62654
146,Clinton St & Madison St,51692
150,Clinton St & Washington Blvd,48669
399,Michigan Ave & Washington St,38029
326,Lake Shore Dr & Monroe St,36174
152,Columbus Dr & Randolph St,35342
310,Kingsbury St & Kinzie St,34589
86,Canal St & Madison St,34188
169,Daley Center Plaza,33968
243,Franklin St & Monroe St,33125
403,Millennium Park,32483
327,Lake Shore Dr & North Blvd,31203
550,Theater on the Lake,30679
397,Michigan Ave & Oak St,29374
431,Orleans St & Merchandise Mart Plaza,29082
318,LaSalle St & Jackson Blvd,27665
193,Dearborn St & Erie St,23829
124,Clark St & Elm St,23368
487,Shedd Aquarium,23282
